Time,Channel 1,Channel 2
3272.9618859291077,0.528,-0.016
3272.9621241078776,0.544,-0.008
3272.962362286647,0.528,-0.016
3272.962600465417,0.536,0.0
3272.962838644187,0.528,-0.016
3272.9630768229563,0.536,0.0
3272.963315001726,0.528,-0.008
3272.963553180496,0.536,-0.016
3272.9637913592655,0.528,-0.016
3272.9640295380354,0.544,0.0
3272.9642677168054,0.528,-0.016
3272.964505895575,0.544,0.0
3272.9647440743447,0.528,-0.016
3272.964982253114,0.544,-0.008
3272.965220431884,0.528,-0.008
3272.965458610654,0.544,-0.016
3272.9656967894234,0.544,-0.016
3272.9659349681933,0.52,0.0
3272.9661731469632,0.528,-0.016
3272.9664113257327,0.544,0.0
3272.9666495045026,0.528,-0.008
3272.9668876832725,0.536,0.024
3272.967125862042,0.528,0.016
3272.967364040812,0.544,0.128
3272.9676022195817,0.528,0.136
3272.967840398351,0.544,0.28
3272.968078577121,0.528,0.28
3272.968316755891,0.544,0.352
3272.9685549346605,0.528,0.352
3272.9687931134304,0.544,0.384
3272.9690312922003,0.528,0.384
3272.9692694709697,0.544,0.384
3272.9695076497396,0.528,0.384
3272.9697458285095,0.544,0.392
3272.969984007279,0.528,0.392
3272.970222186049,0.544,0.384
3272.970460364819,0.544,0.384
3272.9706985435882,0.528,0.392
3272.970936722358,0.528,0.384
3272.9711749011276,0.544,0.4
3272.9714130798975,0.528,0.4
3272.9716512586674,0.544,0.384
3272.971889437437,0.528,0.384
3272.9721276162068,0.536,0.4
3272.9723657949767,0.528,0.4
3272.972603973746,0.536,0.384
3272.972842152516,0.536,0.392
3272.973080331286,0.528,0.384
3272.9733185100554,0.528,0.384
3272.9735566888253,0.544,0.392
3272.973794867595,0.528,0.384
3272.9740330463646,0.544,0.4
3272.9742712251345,0.528,0.384
3272.9745094039044,0.536,0.392
3272.974747582674,0.528,0.392
3272.974985761444,0.544,0.4
3272.9752239402137,0.544,0.4
3272.975462118983,0.528,0.384
3272.975700297753,0.544,0.384
3272.975938476523,0.528,0.4
3272.9761766552924,0.528,0.384
3272.9764148340623,0.544,0.4
3272.9766530128322,0.544,0.4
3272.9768911916017,0.528,0.384
3272.9771293703716,0.528,0.4
3272.977367549141,0.536,0.384
3272.977605727911,0.544,0.384
3272.977843906681,0.528,0.4
3272.9780820854503,0.528,0.384
3272.97832026422,0.544,0.4
3272.97855844299,0.528,0.384
3272.9787966217596,0.544,0.392
3272.9790348005295,0.528,0.392
3272.9792729792994,0.544,0.384
3272.979511158069,0.528,0.392
3272.9797493368387,0.536,0.384
3272.9799875156086,0.528,0.384
3272.980225694378,0.552,0.4
3272.980463873148,0.544,0.4
3272.980702051918,0.528,0.384
3272.9809402306873,0.528,0.392
3272.9811784094572,0.544,0.384
3272.981416588227,0.528,0.384
3272.9816547669966,0.544,0.4
3272.9818929457665,0.544,0.4
3272.9821311245364,0.528,0.384
3272.982369303306,0.528,0.392
3272.9826074820758,0.544,0.384
3272.982845660845,0.528,0.384
3272.983083839615,0.544,0.4
3272.983322018385,0.528,0.4
3272.9835601971545,0.544,0.384
3272.9837983759244,0.528,0.392
3272.9840365546943,0.544,0.384
3272.9842747334637,0.528,0.384
3272.9845129122336,0.536,0.4
3272.9847510910035,0.528,0.4
3272.984989269773,0.544,0.384
3272.985227448543,0.528,0.384
3272.985465627313,0.544,0.392
3272.9857038060823,0.528,0.384
3272.985941984852,0.544,0.4
3272.986180163622,0.528,0.392
3272.9864183423915,0.544,0.384
3272.9866565211614,0.528,0.392
3272.9868946999313,0.536,0.384
3272.987132878701,0.528,0.4
3272.9873710574707,0.544,0.384
3272.9876092362406,0.528,0.384
3272.98784741501,0.536,0.4
3272.98808559378,0.528,0.392
3272.98832377255,0.536,0.384
3272.9885619513193,0.528,0.384
3272.988800130089,0.544,0.4
3272.9890383088587,0.528,0.384
3272.9892764876286,0.544,0.4
3272.9895146663985,0.528,0.4
3272.989752845168,0.552,0.384
3272.989991023938,0.528,0.384
3272.9902292027077,0.544,0.4
3272.990467381477,0.528,0.384
3272.990705560247,0.544,0.4
3272.990943739017,0.528,0.392
3272.9911819177864,0.536,0.384
3272.9914200965563,0.528,0.384
3272.9916582753262,0.544,0.4
3272.9918964540957,0.528,0.4
3272.9921346328656,0.544,0.384
3272.9923728116355,0.528,0.4
3272.992610990405,0.544,0.384
3272.992849169175,0.544,0.4
3272.9930873479448,0.528,0.384
3272.993325526714,0.528,0.4
3272.993563705484,0.544,0.384
3272.993801884254,0.528,0.392
3272.9940400630235,0.544,0.384
3272.9942782417934,0.528,0.384
3272.9945164205633,0.544,0.392
3272.9947545993327,0.544,0.392
3272.9949927781026,0.528,0.384
3272.995230956872,0.528,0.384
3272.995469135642,0.544,0.4
3272.995707314412,0.544,0.384
3272.9959454931814,0.528,0.4
3272.9961836719513,0.528,0.384
3272.996421850721,0.536,0.392
3272.9966600294906,0.528,0.384
3272.9968982082605,0.536,0.4
3272.9971363870304,0.528,0.384
3272.9973745658,0.536,0.4
3272.99761274457,0.528,0.4
3272.9978509233397,0.544,0.384
3272.998089102109,0.528,0.384
3272.998327280879,0.544,0.4
3272.998565459649,0.528,0.392
3272.9988036384184,0.544,0.4
3272.9990418171883,0.528,0.392
3272.999279995958,0.544,0.384
3272.9995181747277,0.544,0.384
3272.9997563534976,0.528,0.4
3272.9999945322675,0.528,0.4
3273.000232711037,0.544,0.384
3273.000470889807,0.528,0.4
3273.0007090685763,0.544,0.384
3273.000947247346,0.544,0.4
3273.001185426116,0.528,0.384
3273.0014236048855,0.528,0.4
3273.0016617836554,0.536,0.384
3273.0018999624253,0.544,0.384
3273.002138141195,0.528,0.4
3273.0023763199647,0.528,0.384
3273.0026144987346,0.544,0.4
3273.002852677504,0.528,0.392
3273.003090856274,0.544,0.384
3273.003329035044,0.528,0.392
3273.0035672138133,0.544,0.384
3273.003805392583,0.528,0.392
3273.004043571353,0.536,0.384
3273.0042817501226,0.528,0.384
3273.0045199288925,0.536,0.4
3273.0047581076624,0.528,0.384
3273.004996286432,0.544,0.392
3273.0052344652017,0.528,0.392
3273.0054726439716,0.544,0.384
3273.005710822741,0.536,0.384
3273.005949001511,0.528,0.4
3273.006187180281,0.528,0.4
3273.0064253590504,0.544,0.384
3273.0066635378203,0.528,0.4
3273.0069017165897,0.544,0.384
3273.0071398953596,0.528,0.392
3273.0073780741295,0.544,0.384
3273.007616252899,0.528,0.4
3273.007854431669,0.544,0.384
3273.008092610439,0.528,0.392
3273.0083307892082,0.544,0.384
3273.008568967978,0.536,0.384
3273.008807146748,0.528,0.4
3273.0090453255175,0.528,0.384
3273.0092835042874,0.544,0.4
3273.0095216830573,0.544,0.384
3273.0097598618268,0.528,0.4
3273.0099980405967,0.528,0.384
3273.0102362193666,0.544,0.4
3273.010474398136,0.528,0.392
3273.010712576906,0.536,0.384
3273.010950755676,0.528,0.392
3273.0111889344453,0.544,0.384
3273.011427113215,0.528,0.384
3273.011665291985,0.536,0.4
3273.0119034707545,0.528,0.4
3273.0121416495244,0.544,0.384
3273.0123798282943,0.528,0.392
3273.012618007064,0.544,0.384
3273.0128561858337,0.528,0.384
3273.013094364603,0.536,0.4
3273.013332543373,0.528,0.384
3273.013570722143,0.536,0.4
3273.0138089009124,0.536,0.4
3273.0140470796823,0.528,0.384
3273.014285258452,0.528,0.384
3273.0145234372217,0.544,0.392
3273.0147616159916,0.528,0.384
3273.0149997947615,0.544,0.4
3273.015237973531,0.528,0.4
3273.015476152301,0.544,0.384
3273.0157143310707,0.528,0.384
3273.01595250984,0.544,0.4
3273.01619068861,0.528,0.384
3273.01642886738,0.536,0.4
3273.0166670461495,0.528,0.384
3273.0169052249194,0.544,0.4
3273.0171434036893,0.528,0.384
3273.0173815824587,0.536,0.4
3273.0176197612286,0.528,0.384
3273.0178579399985,0.544,0.4
3273.018096118768,0.544,0.384
3273.018334297538,0.52,0.4
3273.0185724763073,0.528,0.384
3273.0188106550772,0.544,0.392
3273.019048833847,0.528,0.392
3273.0192870126166,0.544,0.384
3273.0195251913865,0.528,0.392
3273.0197633701564,0.544,0.384
3273.020001548926,0.528,0.392
3273.0202397276958,0.544,0.4
3273.0204779064657,0.528,0.4
3273.020716085235,0.544,0.384
3273.020954264005,0.544,0.4
3273.021192442775,0.528,0.384
3273.0214306215444,0.528,0.384
3273.0216688003143,0.544,0.4
3273.021906979084,0.544,0.4
3273.0221451578536,0.528,0.384
3273.0223833366235,0.528,0.384
3273.0226215153934,0.536,0.4
3273.022859694163,0.528,0.4
3273.023097872933,0.544,0.384
3273.0233360517027,0.536,0.392
3273.023574230472,0.528,0.384
3273.023812409242,0.528,0.392
3273.024050588012,0.544,0.384
3273.0242887667814,0.528,0.4
3273.0245269455513,0.544,0.384
3273.0247651243208,0.528,0.4
3273.0250033030907,0.536,0.384
3273.0252414818606,0.528,0.392
3273.02547966063,0.544,0.384
3273.0257178394,0.544,0.392
3273.02595601817,0.528,0.376
3273.0261941969393,0.528,0.368
3273.026432375709,0.544,0.312
3273.026670554479,0.528,0.296
3273.0269087332485,0.544,0.168
3273.0271469120185,0.528,0.16
3273.0273850907884,0.544,0.048
3273.027623269558,0.528,0.048
3273.0278614483277,0.536,0.008
3273.0280996270976,0.528,0.008
3273.028337805867,0.544,-0.008
3273.028575984637,0.528,0.0
3273.028814163407,0.544,-0.008
3273.0290523421763,0.528,0.0
3273.0292905209462,0.544,-0.016
3273.029528699716,0.528,0.0
3273.0297668784856,0.544,-0.016
3273.0300050572555,0.528,0.0
3273.0302432360254,0.536,-0.016
3273.030481414795,0.528,-0.016
3273.0307195935648,0.544,0.0
3273.030957772334,0.528,0.0
3273.031195951104,0.544,-0.016
3273.031434129874,0.528,-0.016
3273.0316723086435,0.544,0.0
3273.0319104874134,0.528,0.0
3273.0321486661833,0.544,-0.016
3273.0323868449527,0.544,-0.016
3273.0326250237226,0.52,0.0
3273.0328632024925,0.528,-0.016
3273.033101381262,0.544,0.0
3273.033339560032,0.528,-0.016
3273.033577738802,0.544,0.0
3273.0338159175712,0.528,-0.016
3273.034054096341,0.544,0.0
3273.034292275111,0.536,0.0
3273.0345304538805,0.52,-0.016
3273.0347686326504,0.512,-0.016
3273.0350068114203,0.528,0.0
3273.0352449901898,0.496,-0.016
3273.0354831689597,0.544,0.0
3273.0357213477296,0.544,0.0
3273.035959526499,0.528,-0.016
3273.036197705269,0.528,0.0
3273.0364358840384,0.544,-0.016
3273.0366740628083,0.528,0.0
3273.036912241578,0.544,-0.016
3273.0371504203476,0.544,-0.016
3273.0373885991175,0.52,0.0
3273.0376267778875,0.528,0.0
3273.037864956657,0.544,-0.016
3273.038103135427,0.528,0.0
3273.0383413141967,0.536,-0.016
3273.038579492966,0.528,0.0
3273.038817671736,0.536,-0.016
3273.039055850506,0.528,-0.016
3273.0392940292754,0.544,0.0
3273.0395322080453,0.528,-0.016
3273.0397703868152,0.544,0.0
3273.0400085655847,0.528,0.0
3273.0402467443546,0.544,-0.016
3273.0404849231245,0.544,-0.016
3273.040723101894,0.528,0.0
3273.040961280664,0.528,-0.016
3273.0411994594338,0.544,0.0
3273.041437638203,0.544,-0.016
3273.041675816973,0.528,0.0
3273.041913995743,0.544,0.0
3273.0421521745125,0.52,-0.016
3273.0423903532824,0.528,-0.016
3273.042628532052,0.544,0.0
3273.0428667108217,0.528,0.0
3273.0431048895916,0.536,-0.016
3273.043343068361,0.528,-0.016
3273.043581247131,0.544,0.0
3273.043819425901,0.528,-0.008
3273.0440576046703,0.544,-0.016
3273.0442957834402,0.528,-0.016
3273.04453396221,0.544,0.0
3273.0447721409796,0.528,0.0
3273.0450103197495,0.544,-0.016
3273.0452484985194,0.528,0.0
3273.045486677289,0.544,-0.016
3273.0457248560588,0.528,-0.016
3273.0459630348287,0.544,0.0
3273.046201213598,0.544,-0.016
3273.046439392368,0.52,0.0
3273.046677571138,0.528,-0.008
3273.0469157499074,0.512,-0.016
3273.0471539286773,0.528,-0.016
3273.047392107447,0.512,0.0
3273.0476302862166,0.52,0.0
3273.0478684649865,0.528,-0.016
3273.0481066437565,0.512,0.0
3273.048344822526,0.536,-0.016
3273.048583001296,0.528,0.0
3273.0488211800653,0.496,-0.016
3273.049059358835,0.496,-0.016
3273.049297537605,0.504,0.0
3273.0495357163745,0.496,-0.016
3273.0497738951444,0.512,0.0
3273.0500120739143,0.496,-0.016
3273.050250252684,0.528,0.0
3273.0504884314537,0.52,-0.016
3273.0507266102236,0.536,0.0
3273.050964788993,0.528,0.0
3273.051202967763,0.512,-0.016
3273.051441146533,0.536,0.0
3273.0516793253023,0.512,-0.016
3273.051917504072,0.512,-0.016
3273.052155682842,0.528,0.0
3273.0523938616116,0.528,-0.016
3273.0526320403815,0.504,0.0
3273.0528702191514,0.504,-0.016
3273.053108397921,0.536,0.0
3273.0533465766907,0.52,0.0
3273.0535847554606,0.536,-0.016
3273.05382293423,0.528,-0.016
3273.054061113,0.496,0.0
3273.0542992917694,0.504,-0.008
3273.0545374705393,0.528,-0.016
3273.0547756493092,0.512,-0.008
3273.0550138280787,0.528,-0.016
3273.0552520068486,0.536,-0.016
3273.0554901856185,0.496,0.0
3273.055728364388,0.496,-0.016
3273.055966543158,0.52,0.0
3273.0562047219278,0.512,-0.016
3273.056442900697,0.528,-0.008
3273.056681079467,0.52,-0.016
3273.056919258237,0.504,0.0
3273.0571574370065,0.512,-0.008
3273.0573956157764,0.528,-0.016
3273.0576337945463,0.536,-0.016
3273.0578719733157,0.512,-0.008
3273.0581101520856,0.512,-0.016
3273.0583483308556,0.528,0.0
3273.058586509625,0.512,-0.016
3273.058824688395,0.496,-0.008
3273.059062867165,0.496,-0.016
3273.0593010459343,0.512,0.0
3273.059539224704,0.488,-0.008
3273.059777403474,0.52,-0.016
3273.0600155822435,0.512,-0.016
3273.0602537610134,0.528,0.0
3273.060491939783,0.528,-0.016
3273.060730118553,0.496,0.0
3273.0609682973227,0.496,-0.016
3273.061206476092,0.528,0.0
3273.061444654862,0.528,-0.008
3273.061682833632,0.512,-0.016
3273.0619210124014,0.512,-0.008
